Latitude,Longitude,Vehicles Nearby,Required Chargers,Elevation,County
33.527867,-116.64762,20,1,1201,Riverside County
39.009801,-121.034707,525,9,549,Placer County
32.9494207,-117.2466505,10498,155,5,San Diego County
38.399281,-121.210116,163,3,35,Sacramento County
38.371538,-122.487307,205,3,440,Sonoma County
33.50186,-117.608646,8476,117,293,Orange County
34.107753,-118.616219,12093,188,423,Los Angeles County
36.61441,-121.786901,1835,29,138,Monterey County
36.874755,-121.630732,101,2,171,San Benito County
35.112617,-118.832292,48,1,194,Kern
33.934335,-117.367319,4187,64,350,Riverside County
39.940063,-120.891328,27,1,1082,Plumas County
33.8040036,-118.350904,19391,259,29,Los Angeles County
38.523861,-120.376629,34,1,1400,Amador
34.108023,-118.456964,34415,528,293,Los Angeles County
33.1585,-117.277163,9728,131,73,San Diego County
35.538809,-120.739893,822,13,268,San Luis Obispo County
34.0317908,-117.9130066,16062,185,182,Los Angeles County
34.95934,-120.490081,706,12,52,Santa Barbara County
34.129772,-118.330989,37183,536,325,Los Angeles County
34.04151,-118.1918603,18018,236,127,Los Angeles County
37.9539711,-122.0610372,9155,61,19,Contra Costa County
37.612612,-121.108568,150,3,20,Stanislaus County
37.129364,-119.219563,9,1,2142,Fresno County
38.4000578,-122.3604533,114,2,28,Napa County
37.131989,-118.15588,8,1,1895,Inyo County
38.012599,-122.687478,281,5,100,Marin County
39.593945,-121.581363,66,2,298,Butte County
34.624395,-120.137875,441,2,229,Santa Barbara County
33.492391,-116.837955,42,1,858,Riverside County
34.737964,-120.543739,58,1,142,Santa Barbara County
39.923446,-122.270806,49,1,106,Tehama County
34.8509668,-119.1650192,43,1,2200,Kern County
33.7263885,-117.9051156,21263,276,20,Orange County
34.689848,-118.533689,42,1,1421,Los Angeles County
36.905389,-119.748632,1935,31,112,Fresno County
38.722374,-120.978633,104,2,471,El Dorado County
35.779507,-119.200825,118,2,117,Kern County
37.9883736,-122.590597,6282,89,72,Marin County
38.76407,-121.287523,8236,25,52,Placer County
37.852904,-122.547207,5520,68,60,Marin County
32.8390419,-117.0986005,15329,215,102,San Diego County
39.806096,-123.516147,8,1,831,Mendocino County
40.603066,-122.186657,51,1,217,Shasta
32.665762,-117.018657,9931,136,55,San Diego County
33.795196,-116.932856,408,7,484,Riverside County
36.469275,-118.800919,23,1,1337,Tulare
38.449137,-122.793752,3878,61,24,Sonoma County
38.881183,-121.169014,717,12,159,Placer County
37.7249429,-122.3939216,31608,487,9,San Francisco County
34.2708514,-119.170721,3000,11,65,Ventura County
34.1927085,-118.5715064,22685,318,246,Los Angeles County
34.150212,-119.127729,1232,18,6,Ventura County
37.952844,-122.381974,3647,53,2,Contra Costa County
39.1868911,-120.1104969,72,2,2048,Placer County
33.765639,-117.790075,24990,354,87,Orange County
33.9888385,-118.293159,26809,413,55,Los Angeles County
34.297699,-119.014558,119,2,239,Ventura County
38.6798655,-121.229027,7472,115,70,Sacramento County
37.554298,-122.496632,1686,25,182,San Mateo County
33.692217,-116.341248,2763,44,416,Riverside County
33.8556925,-118.1667143,9946,134,19,Los Angeles County
34.2034285,-118.2986959,18889,232,493,Los Angeles County
37.0890844,-122.0892896,2627,42,195,Santa Cruz County
37.861625,-120.480322,33,1,366,Tuolumne County
34.899991,-116.654532,9,1,556,San Bernardino County
38.3346278,-123.0496156,181,3,85,Sonoma County
34.7727,-118.791975,18,1,1050,Los Angeles County
34.0231421,-118.0369225,10989,162,278,Los Angeles County
33.7353335,-116.6960429,44,1,1670,Riverside County
36.76886,-119.762393,2287,10,98,Fresno County
38.512787,-121.493618,6084,86,7,Sacramento County
40.3018006,-121.0008794,13,1,1731,Lassen County
38.628217,-123.160834,34,1,268,Sonoma
36.5458801,-121.9275261,1654,8,55,Monterey County
34.13946,-118.166649,24247,266,234,Los Angeles County
35.486805,-120.485271,26,1,436,San Luis Obispo
33.667301,-116.963506,1759,28,521,Riverside County
37.825598,-121.005157,99,2,33,San Joaquin County
37.247137,-122.273493,87,2,343,San Mateo County
34.178483,-118.431791,26634,349,214,Los Angeles County
40.523099,-124.326421,19,1,248,Humboldt
38.4724152,-121.44876,5364,76,7,Sacramento County
32.8035475,-117.0359028,10456,140,341,San Diego County
38.11649,-122.930351,90,2,44,Marin County
32.755239,-117.094062,16378,239,80,San Diego County
37.6525286,-122.0532083,10591,161,218,Alameda County
33.6170068,-117.6494139,29563,412,169,Orange County
38.994187,-121.594591,617,10,13,Sutter County
36.042151,-119.5277,21,1,63,Tulare County
38.834145,-122.236936,12,1,363,Yolo
32.7518076,-117.001918,7507,98,170,San Diego County
33.285274,-117.197777,1089,18,101,San Diego County
33.6987822,-117.2438885,4101,65,471,Riverside County
39.046931,-121.403091,59,1,28,Yuba County
40.525724,-123.193917,7,1,740,Trinity County
34.481108,-117.982006,60,1,1170,Los Angeles
34.119367,-117.855054,5779,80,265,Los Angeles County
37.6884059,-121.0108125,2469,30,28,Stanislaus County
41.456579,-122.469367,29,1,931,Siskiyou County
39.105127,-122.283003,17,1,92,Colusa County
33.6256063,-117.9264928,14455,226,33,Orange County
37.959549,-122.283578,8850,127,66,Contra Costa County
37.042254,-121.930051,2574,41,184,Santa Cruz County
34.077059,-116.606626,33,1,1247,San Bernardino County
38.02973,-121.02389,39,1,43,San Joaquin
38.199576,-121.618273,53,1,-4,Solano County
38.4978142,-122.8996465,167,3,91,Sonoma County
35.952426,-119.072843,14,1,140,Tulare County
36.7374526,-118.2650703,8,1,1690,Inyo County
37.7753584,-122.145787,9991,157,322,Alameda County
33.783064,-118.026268,16544,190,14,Orange County
33.9185466,-118.013281,17999,258,68,Los Angeles County
38.482619,-120.899472,35,1,210,Amador County
34.168771,-118.050216,13560,169,314,Los Angeles County
32.7342001,-116.940956,4896,77,157,San Diego County
39.639597,-120.247144,7,1,1740,Sierra
34.1683201,-118.1335686,18841,190,296,Los Angeles County
40.666691,-123.908396,14,1,994,Humboldt
32.725349,-117.228983,8731,125,20,San Diego County
38.313448,-121.123886,32,1,65,Sacramento
39.161278,-122.745312,13,1,841,Lake County
37.099308,-121.59924,3061,48,88,Santa Clara County
36.8378683,-119.68617,3196,28,119,Fresno County
38.750132,-120.675412,61,1,935,El Dorado County
36.525703,-120.952122,6,1,1088,San Benito
36.636344,-121.623978,1383,2,16,Monterey County
34.265879,-118.456748,10744,149,293,Los Angeles County
37.3230314,-121.827985,23924,326,31,Santa Clara County
35.848621,-120.938911,10,1,365,Monterey
34.152583,-117.577707,7481,117,578,San Bernardino County
34.1643407,-118.2813278,22628,262,167,Los Angeles County
34.912622,-120.619088,53,1,348,Santa Barbara County
39.053461,-120.795632,49,1,1072,Placer County
36.779046,-121.142439,13,1,507,San Benito
36.620634,-119.520731,57,1,107,Fresno County
34.205247,-119.174092,3037,13,22,Ventura County
34.0097166,-118.1130682,13295,130,61,Los Angeles County
40.9332,-122.382788,12,1,456,Shasta County
32.626231,-116.61002,11,1,712,San Diego County
33.8483863,-118.263479,9925,130,27,Los Angeles County
33.752476,-117.612554,2920,46,784,Orange County
38.5016047,-122.7513416,3483,53,48,Sonoma County
37.377787,-119.632385,60,1,985,Madera County
36.206269,-119.071075,64,1,123,Tulare County
38.542448,-122.419923,424,7,497,Napa
39.259022,-121.776826,120,2,65,Sutter
33.91714,-118.404267,36347,517,38,Los Angeles County
40.01945,-121.566635,24,1,1203,Butte
38.734513,-122.025346,23,1,55,Yolo
38.731694,-122.906767,59,1,172,Sonoma County
39.2947189,-120.381391,22,1,2141,Placer County
37.4495974,-122.1881017,18196,206,25,San Mateo County
34.063516,-117.790379,10315,159,243,Los Angeles County
37.028835,-119.316654,29,1,1102,Fresno
37.807215,-122.301497,13074,140,3,Alameda County
36.7675325,-121.7602167,74,2,3,Monterey County
34.510646,-116.896718,14,1,872,San Bernardino County
34.442625,-117.541815,140,3,1161,San Bernardino County
38.886238,-120.979699,80,2,526,El Dorado County
36.092975,-121.549826,13,1,976,Monterey
33.928179,-117.809285,17573,253,312,Orange County
34.4216866,-119.6778499,3189,22,92,Santa Barbara County
34.59448,-117.813666,38,1,841,Los Angeles County
36.526597,-119.864103,27,1,71,Fresno County
33.376467,-117.066121,24,1,166,San Diego County
37.939765,-120.188046,20,1,1073,Tuolumne County
34.222079,-116.564222,11,1,1468,San Bernardino
37.4106579,-122.1604958,18402,217,58,Santa Clara County
40.676564,-122.380909,46,1,242,Shasta County
38.83252,-123.472532,117,2,99,Mendocino
38.18735,-122.224074,2783,44,209,Napa County
34.0250901,-118.3077277,35605,542,48,Los Angeles County
39.301229,-121.337929,31,1,292,Yuba County
37.666587,-120.411517,17,1,192,Tuolumne
33.323221,-116.66593,14,1,1147,San Diego
34.049809,-117.470613,2897,44,297,San Bernardino County
38.320861,-122.646138,1120,18,97,Sonoma County
32.648992,-116.152565,9,1,1054,San Diego
33.763905,-117.931382,22866,308,25,Orange County
34.770605,-119.985205,40,1,832,Santa Barbara
36.191268,-120.090097,7,1,106,Fresno County
38.5485859,-121.3948422,5675,86,14,Sacramento County
38.603602,-120.85703,69,2,522,El Dorado County
33.988505,-118.336358,30181,458,66,Los Angeles County
34.083016,-117.073317,838,14,729,San Bernardino County
33.0222651,-117.2822594,11417,148,44,San Diego County
38.6827463,-121.4552798,3668,58,14,Sacramento County
41.754853,-122.365534,6,1,960,Siskiyou County
38.6798103,-121.270794,5241,73,63,Sacramento County
38.200231,-121.235034,479,8,23,San Joaquin County
36.624539,-119.671874,266,5,97,Fresno County
39.199469,-123.702253,47,1,142,Mendocino County
38.695997,-121.3640845,3729,45,47,Sacramento County
35.652911,-120.266428,7,1,633,San Luis Obispo
33.758663,-117.109484,1157,19,566,Riverside County
34.1356634,-118.216452,27824,411,201,Los Angeles County
37.6793441,-122.154365,8946,94,0,Alameda County
35.6688108,-118.3055882,8,1,1521,Kern County
33.298504,-116.924783,58,1,729,San Diego County
37.242232,-120.240442,7,1,77,Merced County
34.180563,-118.3948091,25549,389,212,Los Angeles County
34.059306,-117.390768,2873,36,318,San Bernardino County
34.3422103,-117.6031843,119,2,1917,San Bernardino County
37.6660531,-119.7127344,7,1,1865,Mariposa County
33.708982,-117.198853,3105,27,438,Riverside County
38.434483,-120.761659,81,2,505,Amador
32.887989,-116.621354,32,1,1205,San Diego
33.83796,-117.870494,17573,245,64,Orange County
33.845619,-118.038726,21906,257,19,Orange County
39.390917,-123.052841,9,1,791,Lake County
34.2543017,-117.1731436,70,2,1793,San Bernardino County
40.546631,-122.880891,8,1,1433,Trinity
35.221906,-118.582566,23,1,993,Kern County
35.178504,-120.731961,428,7,93,San Luis Obispo County
38.189115,-120.638708,19,1,397,Calaveras County
40.619998,-122.643642,7,1,1185,Shasta
37.588918,-120.855236,836,14,36,Stanislaus County
39.604713,-121.795288,48,1,40,Butte County
38.840217,-120.829757,29,1,706,El Dorado County
38.25242,-122.962717,34,1,50,Marin County
38.592309,-120.584657,35,1,964,El Dorado County
39.015251,-123.370756,16,1,115,Mendocino County
38.678545,-121.379969,3645,54,26,Sacramento County
33.619672,-117.612087,15548,232,251,Orange County
38.173556,-121.312247,619,10,10,San Joaquin County
38.6963174,-119.8447164,13,1,2927,Alpine County
36.672683,-120.446521,10,1,71,Fresno County
33.637201,-116.627212,31,1,1375,Riverside
34.185666,-118.239494,21397,290,431,Los Angeles County
33.8069162,-117.9227207,22717,257,40,Orange County
33.819814,-118.222416,8636,101,10,Los Angeles County
37.394536,-120.890747,357,6,29,Merced County
34.243482,-117.281304,510,8,1403,San Bernardino County
33.14709,-116.717453,11,1,1087,San Diego
39.722512,-122.004433,10,1,43,Glenn County
37.8641059,-122.2462392,18649,278,272,Alameda County
34.712216,-120.230146,31,1,399,Santa Barbara County
33.543835,-115.993906,23,1,-45,Riverside County
33.82233,-116.364238,2085,28,67,Riverside County
38.0227801,-121.293185,2275,18,6,San Joaquin County
38.281108,-119.384449,10,1,2845,Mono
37.9043493,-122.2677241,13595,190,215,Contra Costa County
37.248335,-119.944935,11,1,240,Madera
35.746484,-121.223355,6,1,448,San Luis Obispo
34.1692,-118.372498,27604,405,194,Los Angeles County
38.384706,-121.578722,25,1,0,Yolo County
38.884891,-121.778654,9,1,7,Sutter County
37.0852192,-122.0536731,2998,31,115,Santa Cruz County
36.651745,-121.599444,1383,18,21,Monterey
35.960636,-119.312992,6,1,76,Tulare County
33.842584,-116.2929,940,15,243,Riverside
36.46271,-119.093242,19,1,283,Tulare
37.672536,-120.887136,1314,21,37,Stanislaus County
39.226549,-120.767022,7,1,1301,Placer County
33.887088,-118.159741,9631,135,28,Los Angeles County
38.4607321,-121.5056589,4073,58,4,Yolo County
38.4426174,-122.5308898,1052,15,273,Sonoma County
37.988451,-122.013001,5436,56,29,Contra Costa County
37.7346227,-122.4337115,31655,381,182,San Francisco County
34.3444403,-117.9711845,25,1,1780,Los Angeles County
40.496975,-123.930822,9,1,303,Humboldt
35.044396,-120.620199,232,4,20,San Luis Obispo County
40.580119,-122.041403,7,1,409,Shasta
34.078195,-118.185501,24231,320,227,Los Angeles County
38.936137,-123.119445,21,1,455,Mendocino County
33.9992225,-118.358,43182,613,62,Los Angeles County
33.947305,-118.439841,33466,490,42,Los Angeles County
38.210353,-121.051256,12,1,43,San Joaquin
33.950295,-118.024352,11567,159,66,Los Angeles County
32.654821,-116.465541,39,1,890,San Diego County
40.914926,-123.668723,9,1,1178,Humboldt County
37.41467,-120.586787,35,1,64,Merced County
40.055796,-123.969269,7,1,318,Humboldt County
37.374707,-122.181698,13433,204,153,Santa Clara County
34.0317653,-118.290833,25586,365,73,Los Angeles County
37.57459,-121.853708,9280,145,92,Alameda County
37.845601,-121.950612,8109,127,217,Contra Costa County
39.7683704,-120.5251586,17,1,1605,Plumas County
37.393503,-121.620009,18,1,891,Santa Clara
41.870812,-123.86277,6,1,542,Del Norte County
38.458864,-122.428831,441,7,55,Napa County
39.0685632,-120.130964,20,1,2351,Placer County
33.983697,-116.691398,14,1,1228,Riverside
33.8321595,-118.2797865,12875,151,16,Los Angeles County
37.943087,-122.72379,172,3,297,Marin County
33.9151817,-118.2646287,10088,121,48,Los Angeles County
41.006417,-121.480741,8,1,1202,Shasta
34.1635125,-118.256736,22591,317,183,Los Angeles County
37.688826,-122.408935,31431,444,12,San Mateo County
37.431392,-121.051294,9,1,22,Stanislaus County
38.419902,-120.474458,7,1,1048,Calaveras County
40.704869,-122.120038,10,1,375,Shasta
38.7064759,-120.0883019,7,1,2528,Amador County
38.501363,-123.170879,18,1,251,Sonoma County
38.028939,-121.640521,1102,18,-4,Contra Costa County
39.225478,-122.922912,8,1,646,Lake
35.715258,-118.507027,6,1,1378,Kern County
34.0550794,-118.3865588,39015,518,47,Los Angeles County
37.6540073,-120.9583183,1874,20,31,Stanislaus County
34.0226595,-118.2516039,15793,159,61,Los Angeles County
33.81763,-117.810046,24371,377,112,Orange County
39.2001213,-120.239023,116,2,1900,Placer County
38.0218688,-122.261428,3112,45,48,Contra Costa County
33.601984,-117.913001,13326,197,0,Orange County
38.549228,-121.278598,4551,68,39,Sacramento County
38.3938372,-120.6535458,41,1,826,Amador County
38.80129,-121.037936,21,1,375,El Dorado County
34.144618,-117.301301,1346,19,366,San Bernardino County
36.9809058,-122.051951,3727,46,188,Santa Cruz County
39.244183,-123.563531,11,1,133,Mendocino County
37.748272,-122.216825,14468,161,0,Alameda County
39.403217,-121.034486,8,1,713,Yuba
38.706906,-122.393997,10,1,214,Napa
39.172726,-121.805819,14,1,117,Sutter
40.7290518,-122.8069563,10,1,887,Trinity County
32.608865,-116.71966,15,1,325,San Diego County
36.60076,-119.175485,13,1,541,Tulare
38.81782,-120.929272,74,2,216,El Dorado County
33.810743,-117.105415,960,15,489,Riverside County
33.9598407,-118.2684904,19705,295,44,Los Angeles County
38.299257,-120.626707,16,1,567,Calaveras County
34.0214108,-118.5062859,25176,253,77,Los Angeles County
34.340222,-116.540435,11,1,1044,San Bernardino County
38.012697,-122.639598,3032,48,173,Marin County
35.24512,-118.9411,189,3,109,Kern
34.473884,-118.797181,20,1,743,Ventura County
40.674987,-124.231146,11,1,43,Humboldt County
38.085839,-120.37855,21,1,945,Tuolumne County
37.274612,-122.23242,87,2,221,San Mateo County
34.2189597,-118.230913,13070,202,413,Los Angeles County
38.733145,-121.468174,1715,27,16,Sacramento County
37.36553,-120.160164,9,1,237,Mariposa
40.045637,-122.184859,12,1,81,Tehama County
39.128363,-122.849302,16,1,457,Lake County
36.7708458,-119.8350155,2614,28,96,Fresno County
38.8335824,-122.7180443,17,1,734,Lake County
32.725583,-115.47268,189,3,-1,Imperial County
38.619049,-121.517552,7143,39,4,Sacramento County
32.7220617,-117.1289514,12601,164,19,San Diego County
37.114335,-122.237162,15,1,365,Santa Cruz
40.322772,-123.920622,9,1,127,Humboldt County
38.936904,-120.772283,13,1,883,El Dorado County
38.282221,-121.924715,2800,44,20,Solano County
33.7906764,-118.3302815,16379,243,29,Los Angeles County
37.991289,-120.262791,221,4,903,Tuolumne County
39.344757,-121.264517,35,1,498,Yuba County
40.654093,-121.822848,7,1,1093,Shasta
38.985882,-120.978665,173,3,611,Placer County
39.805588,-120.665978,6,1,1373,Plumas County
39.108252,-123.645121,10,1,542,Mendocino County
33.9598714,-118.2544907,9881,100,46,Los Angeles County
38.082829,-122.671527,1027,17,155,Marin
32.67807,-116.306851,9,1,1166,San Diego County
34.495537,-117.756645,7,1,1052,Los Angeles County
33.0017251,-117.2358039,15909,231,45,San Diego County
36.999336,-119.518794,12,1,343,Fresno County
40.472423,-124.12184,14,1,269,Humboldt
38.882973,-122.53272,133,3,403,Lake County
39.060921,-121.827155,7,1,10,Sutter County
38.000494,-120.898152,7,1,94,Stanislaus
33.9342491,-118.2137411,8028,120,29,Los Angeles County
37.3366639,-119.4198873,6,1,2357,Madera County
38.19262,-120.95782,16,1,97,Calaveras County
38.672591,-121.3583445,5566,76,35,Sacramento County
36.655353,-119.593861,174,3,104,Fresno County
39.435211,-121.551925,6,1,48,Butte County
38.833555,-121.498099,9,1,11,Sutter County
38.140366,-121.589783,63,1,-6,Sacramento
34.2382595,-117.6576723,8,1,1566,San Bernardino County
36.585446,-120.173897,6,1,54,Fresno County
34.0277426,-118.2001058,13133,98,64,Los Angeles County
37.5241511,-122.5163805,1686,27,20,San Mateo County
39.176595,-121.291692,12,1,269,Yuba County
41.950683,-124.097094,6,1,313,Del Norte
37.331113,-120.294817,11,1,78,Merced County
38.5523286,-121.454139,7485,78,12,Sacramento County
38.344946,-122.948799,99,2,73,Sonoma County
34.003638,-118.308806,30252,469,46,Los Angeles County
37.9668564,-121.2747664,1636,14,7,San Joaquin County
38.516474,-120.688517,30,1,811,Amador County
38.752774,-122.557196,144,3,378,Lake
40.685336,-122.016069,8,1,506,Shasta County
38.4672309,-123.0115548,218,4,200,Sonoma County
34.259272,-117.520971,2113,34,1531,San Bernardino
38.029069,-122.726523,281,5,229,Marin County
39.064446,-122.626701,14,1,366,Lake County
36.450225,-119.934478,9,1,63,Fresno County
39.409686,-121.756653,61,1,25,Butte
33.7753644,-117.8587436,22938,267,66,Orange County
38.995557,-121.353545,1640,26,40,Placer County
36.724723,-119.192779,23,1,746,Fresno County
37.873793,-121.290146,1784,16,3,San Joaquin County
34.1017778,-116.9662162,10,1,1598,San Bernardino County
37.316807,-120.855753,56,1,28,Merced County
39.361097,-123.8086451,72,2,63,Mendocino County
36.7423058,-119.7709994,2216,9,104,Fresno County
39.106099,-121.36818,45,1,48,Yuba County
39.1140331,-120.158582,101,2,2385,Placer County
33.680226,-117.526144,1851,29,824,Orange
36.304539,-119.204896,304,5,115,Tulare County
38.855811,-121.182313,1517,14,156,Placer County
38.662983,-121.401113,4727,62,25,Sacramento County
37.331714,-122.341466,12,1,147,San Mateo County
38.227003,-120.514561,7,1,757,Calaveras County
36.047414,-119.344304,10,1,80,Tulare County
38.17857,-122.88319,108,2,88,Marin
39.432882,-121.261143,21,1,576,Yuba County
38.065529,-120.170699,38,1,1405,Tuolumne County
38.1038505,-122.2783418,3169,36,3,Solano County
40.825486,-124.049485,257,5,102,Humboldt
37.558453,-120.90988,1054,17,31,Stanislaus County
36.95594,-119.335294,29,1,775,Fresno
34.1217115,-117.3235343,1346,5,358,San Bernardino County
39.258198,-123.76156,107,2,171,Mendocino County
33.7215827,-118.0750655,10566,153,0,Orange County
37.470288,-120.671083,7,1,61,Merced County
39.224354,-121.151625,167,3,565,Nevada County
33.9314082,-118.3431138,35150,487,26,Los Angeles County
38.0557373,-122.2378442,3654,58,82,Contra Costa County
36.313344,-119.708452,458,8,70,Kings County
34.2766714,-117.3129464,519,6,1767,San Bernardino County
33.606232,-117.889651,12936,191,5,Orange County
36.503322,-119.286328,6,1,112,Tulare County
38.433216,-122.869001,1860,28,33,Sonoma County
37.438672,-122.011582,23798,362,-3,Santa Clara County
38.157794,-121.520223,27,1,-5,San Joaquin County
38.156411,-121.1534949,359,6,30,San Joaquin County
33.3276105,-116.8366001,58,1,1576,San Diego County
38.97664,-123.604802,39,1,295,Mendocino County
37.914513,-122.64689,2871,45,174,Marin County
37.608303,-120.685156,140,3,69,Stanislaus County
40.244215,-123.888871,8,1,406,Humboldt County
39.2481991,-120.0140101,72,2,2067,Placer County
38.490508,-121.284171,3430,54,38,Sacramento County
34.421964,-119.593483,1790,20,71,Santa Barbara County
39.2777164,-120.1467844,72,2,2081,Placer County
38.756184,-122.195438,12,1,235,Yolo
38.910748,-120.908621,63,1,573,El Dorado County
38.231547,-122.928226,45,1,50,Marin County
38.426699,-120.825717,83,2,319,Amador County
38.318624,-121.554752,26,1,-3,Sacramento County
36.82815,-121.776583,74,2,3,Monterey County
39.3333915,-120.2907651,22,1,2163,Nevada County
34.153159,-117.968818,7712,110,252,Los Angeles County
39.038809,-120.97753,173,3,705,Placer County
32.846363,-116.557729,32,1,1240,San Diego County
36.15118,-119.049222,64,1,132,Tulare County
38.84223,-121.572164,9,1,5,Sutter County
38.7064759,-120.0883019,7,1,2612,Amador County
37.833901,-122.165034,15353,240,276,Contra Costa County
33.915839,-116.559873,1314,20,244,Riverside County
34.2870428,-117.3590068,865,14,1564,San Bernardino County
36.588003,-121.398912,53,1,409,Monterey
34.21474,-117.192326,1324,10,1215,San Bernardino County
37.826372,-121.622546,3227,51,12,Contra Costa County
38.0161184,-122.6618664,652,11,105,Marin County
37.2367221,-119.2383876,9,1,1515,Fresno County
39.449004,-121.330521,108,2,535,Yuba County
34.303939,-117.0131167,61,1,2269,San Bernardino County
34.1614054,-116.8723226,120,2,2195,San Bernardino County
39.186791,-123.558382,11,1,235,Mendocino County
32.9299275,-117.0010835,6202,93,316,San Diego County
38.078402,-120.443443,83,2,598,Calaveras
38.287346,-122.968556,126,2,151,Marin County
37.052216,-122.0736959,2998,31,140,Santa Cruz County
37.974295,-121.651441,3654,58,4,Contra Costa County
38.193762,-120.875928,123,2,143,Calaveras County
39.379346,-121.19231,16,1,722,Yuba County
38.38903,-121.500428,4234,67,3,Sacramento County
40.726752,-124.217378,14,1,0,Humboldt County
32.817225,-115.700076,167,3,-17,Imperial County
35.403611,-118.756525,453,8,496,Kern
32.5779888,-116.6284338,11,1,573,San Diego County
41.544675,-122.934665,10,1,890,Siskiyou County
36.803197,-120.018564,305,5,82,Fresno County
38.732368,-121.810263,345,6,22,Yolo County
39.184728,-122.969574,8,1,411,Lake County
38.379703,-120.448,10,1,963,Calaveras County
37.6336527,-122.400694,18559,200,-2,San Mateo County
38.0490224,-122.1971082,5285,83,112,Contra Costa County
40.0326086,-122.1173598,12,1,65,Tehama County
38.461425,-123.047186,216,4,14,Sonoma County
36.547067,-119.335641,107,2,113,Tulare County
37.1024094,-122.1217967,2142,34,193,Santa Cruz County
38.524077,-122.968774,258,5,183,Sonoma County
37.943257,-122.492151,7803,82,15,Marin County
38.240419,-121.587535,43,1,-4,Sacramento County
37.63929,-120.903049,1131,18,35,Stanislaus County
38.436774,-120.857624,41,1,206,Amador County
37.2740936,-122.2852649,96,2,127,San Mateo County
37.2274582,-121.7525424,3085,10,76,Santa Clara County
38.549422,-122.476382,387,7,228,Napa County
34.022826,-118.2920912,21239,317,67,Los Angeles County
39.2777164,-120.1467844,72,2,2056,Placer County
36.389827,-119.219896,304,5,114,Tulare County
38.4672309,-123.0115548,218,4,40,Sonoma County
34.2189597,-118.230913,14117,218,385,Los Angeles County
34.1770427,-119.2162359,2454,37,8,Ventura County
34.2351727,-118.5277448,17770,225,279,Los Angeles County
37.840961,-122.109502,11582,181,191,Contra Costa County
